"Date","Rolling 14-Day Percent of Tests Positive","min","Level Blue: Caution","Level Yellow: Concern","Level Orange: High Risk","Level Red: Severe Risk"
2020-04-18,30,0,5,10,15,36.2068965517241
2020-04-17,30.1587301587302,0,5,10,15,36.2068965517241
2020-04-16,31.4285714285714,0,5,10,15,36.2068965517241
2020-04-15,30.5084745762712,0,5,10,15,36.2068965517241
2020-04-14,36.2068965517241,0,5,10,15,36.2068965517241
2020-04-13,35,0,5,10,15,36.2068965517241
2020-04-12,36.2068965517241,0,5,10,15,36.2068965517241
2020-04-11,33.8709677419355,0,5,10,15,36.2068965517241
2020-04-10,32.8125,0,5,10,15,36.2068965517241
2020-04-09,33.3333333333333,0,5,10,15,36.2068965517241
2020-04-08,33.8709677419355,0,5,10,15,36.2068965517241
2020-04-07,33.3333333333333,0,5,10,15,36.2068965517241
2020-04-06,33.8709677419355,0,5,10,15,36.2068965517241
2020-04-05,33.3333333333333,0,5,10,15,36.2068965517241
2020-04-04,33.8983050847458,0,5,10,15,36.2068965517241
2020-04-03,29.4117647058824,0,5,10,15,36.2068965517241
2020-04-02,24.1935483870968,0,5,10,15,36.2068965517241
2020-04-01,23.5294117647059,0,5,10,15,36.2068965517241
2020-03-31,19.4029850746269,0,5,10,15,36.2068965517241
2020-03-30,18.4615384615385,0,5,10,15,36.2068965517241
2020-03-29,18.75,0,5,10,15,36.2068965517241
2020-03-28,16.9491525423729,0,5,10,15,36.2068965517241
2020-03-27,16.6666666666667,0,5,10,15,36.2068965517241
2020-03-26,18.1818181818182,0,5,10,15,36.2068965517241
2020-03-25,16.0714285714286,0,5,10,15,36.2068965517241
2020-03-24,17.6470588235294,0,5,10,15,36.2068965517241
2020-03-23,18,0,5,10,15,36.2068965517241
2020-03-22,18,0,5,10,15,36.2068965517241
2020-03-21,15.5555555555556,0,5,10,15,36.2068965517241
2020-03-20,18.1818181818182,0,5,10,15,36.2068965517241
2020-03-19,20,0,5,10,15,36.2068965517241
2020-03-18,18.1818181818182,0,5,10,15,36.2068965517241
2020-03-17,20,0,5,10,15,36.2068965517241
2020-03-16,23.0769230769231,0,5,10,15,36.2068965517241
2020-03-15,11.1111111111111,0,5,10,15,36.2068965517241
2020-03-14,14.2857142857143,0,5,10,15,36.2068965517241
2020-03-13,14.2857142857143,0,5,10,15,36.2068965517241
2020-03-12,0,0,5,10,15,36.2068965517241
2020-03-11,0,0,5,10,15,36.2068965517241
