"Date","12-15","16-19","20-29","30-39","40-49","50-59","60-69","70-79","80+"
"03/31/2021",0,3.26315789473684,9.93193069306931,15.358958068615,22.5464190981432,25.1271905031091,68.6540198735321,73.4760353652862,53.1578947368421
"04/01/2021",0,5.26315789473684,11.3087871287129,17.8843710292249,25.4376657824934,35.8111927642736,78.4703402589581,73.6621684504421,53.1578947368421
"04/02/2021",0,6,11.927599009901,18.9167725540025,27.0026525198939,37.4222724703222,81.3911472448058,73.9879013494649,53.1578947368421
"04/03/2021",0,6.31578947368421,12.1596534653465,19.5044472681067,27.6923076923077,38.0440927077445,82.2342667871123,74.1275011633318,53.1578947368421
"04/04/2021",0,6.31578947368421,12.1751237623762,19.5203303684879,27.8514588859416,38.1288863764839,82.324601023788,74.1275011633318,53.1578947368421
"04/05/2021",0,6.42105263157895,12.2834158415842,19.6156289707751,27.9840848806366,38.439796495195,82.5353809093646,74.1275011633318,53.1578947368421
"04/06/2021",0,6.63157894736842,12.5,19.8062261753494,28.3289124668435,38.8072357263991,82.8967178560675,74.1740344346208,53.1578947368421
"04/07/2021",0,7.26315789473684,13.0569306930693,20.6162642947903,30.079575596817,39.8530243075184,83.6796145739235,74.2671009771987,53.1578947368421
"04/08/2021",0,7.68421052631579,13.2735148514851,21.0292249047014,30.6896551724138,40.2769926512154,83.9506172839506,74.2671009771987,53.1578947368421
"04/09/2021",0,8.63157894736842,13.9387376237624,22.5540025412961,32.5994694960212,43.9231204070096,85.4260764829871,74.5463006049325,53.1578947368421
"04/10/2021",0,8.63157894736842,14.1089108910891,22.8875476493011,32.9973474801061,44.4036178631995,85.8777476663656,74.6393671475105,53.1578947368421
"04/11/2021",0,8.63157894736842,14.2017326732673,23.0304955527319,33.236074270557,44.7145279819107,86.2390846130684,74.8255002326664,53.1578947368421
"04/12/2021",0,9.1578947368421,15.052599009901,23.5864040660737,33.7931034482759,45.2515545505936,86.3896416741945,74.8720335039553,53.1578947368421
"04/13/2021",0,9.26315789473684,15.1454207920792,23.7293519695044,34.1379310344828,45.6755228942906,86.4799759108702,74.8720335039553,53.1578947368421
"04/14/2021",0,10,16.2902227722772,24.9841168996188,35.9416445623342,51.5545505935557,87.865100873231,75.0581665891112,53.1578947368421
"04/15/2021",0,10.3157894736842,16.4294554455446,25.079415501906,36.2334217506631,52.0633126059921,88.1662149954833,75.0581665891112,53.1578947368421
"04/16/2021",0,11.3684210526316,18.5488861386139,28.351334180432,41.5119363395225,62.6342566421707,89.9728997289973,75.2442996742671,53.1578947368421
"04/17/2021",0,11.5789473684211,18.6262376237624,28.510165184244,42.0159151193634,63.0864895421142,90.1836796145739,75.2908329455561,53.1578947368421
"04/18/2021",0,11.5789473684211,18.75,28.6372299872935,42.1750663129973,63.4821933295647,90.3041252634749,75.2908329455561,53.1578947368421
"04/19/2021",0,11.5789473684211,18.8118811881188,28.843710292249,42.2811671087533,63.9626907857547,90.3944595001506,75.2908329455561,53.1578947368421
"04/20/2021",0,11.6842105263158,18.9820544554455,29.0343074968234,42.5198938992042,64.4149236856981,90.5450165612767,75.2908329455561,53.1578947368421
"04/21/2021",0,13.4736842105263,21.3335396039604,31.6867852604828,45.4907161803714,72.3572639909553,92.381812707016,75.383899488134,53.1578947368421
"04/22/2021",0,14.9473684210526,23.6850247524752,35.4034307496823,50.7957559681698,74.9010740531374,93.1948208370973,75.430432759423,53.1578947368421
"04/23/2021",0,24.2105263157895,27.5835396039604,40.4066073697586,58.3554376657825,78.208027133974,94.2487202649804,75.476966030712,53.1578947368421
"04/24/2021",0,24.5263157894737,27.6454207920792,40.6448538754765,59.0185676392573,78.7450537026569,94.579945799458,75.476966030712,53.1578947368421
"04/25/2021",0,25.2631578947368,27.6608910891089,40.7560355781449,59.4960212201592,79.2255511588468,94.7305028605842,75.476966030712,53.3333333333333
"04/26/2021",0,26.2105263157895,27.8155940594059,41.010165184244,60.132625994695,79.6777840587903,94.9111713339356,75.5234993020009,53.3333333333333
"04/27/2021",0,29.7894736842105,28.4344059405941,42.3919949174079,61.9893899204244,80.4126625211984,95.2725082806384,75.5700325732899,53.3333333333333
"04/28/2021",0,34.8421052631579,29.0532178217822,43.21791613723,63.7400530503979,81.5149802148106,95.5133995784402,75.6165658445789,53.3333333333333
"04/29/2021",0,45.8947368421053,33.2766089108911,47.8240152477764,69.8143236074271,84.5392877331826,96.1457392351701,75.7096323871568,53.6842105263158
