"Fecha","positivos nuevos por 100,000 personas en los 14 dias anteriores","min","Nivel Azul: Precacion","Nivel Amarillo: Preocupaction","Nivel Anaranjado: Alto Riesgo","Nivel Rojo: Reisgo severo"
"2020-09-06",16.1425711887389,0,75,175,350,1307.54826628785
"2020-09-07",12.9140569509912,0,75,175,350,1307.54826628785
"2020-09-08",12.9140569509912,0,75,175,350,1307.54826628785
"2020-09-09",12.9140569509912,0,75,175,350,1307.54826628785
"2020-09-10",29.0566281397301,0,75,175,350,1307.54826628785
"2020-09-11",29.0566281397301,0,75,175,350,1307.54826628785
"2020-09-12",29.0566281397301,0,75,175,350,1307.54826628785
"2020-09-13",61.341770517208,0,75,175,350,1307.54826628785
"2020-09-14",67.7987989927036,0,75,175,350,1307.54826628785
"2020-09-15",138.826112223155,0,75,175,350,1307.54826628785
"2020-09-16",164.654226125137,0,75,175,350,1307.54826628785
"2020-09-17",190.48234002712,0,75,175,350,1307.54826628785
"2020-09-18",203.396396978111,0,75,175,350,1307.54826628785
"2020-09-19",203.396396978111,0,75,175,350,1307.54826628785
"2020-09-20",203.396396978111,0,75,175,350,1307.54826628785
"2020-09-21",206.624911215858,0,75,175,350,1307.54826628785
"2020-09-22",290.566281397301,0,75,175,350,1307.54826628785
"2020-09-23",313.165881061536,0,75,175,350,1307.54826628785
"2020-09-24",303.480338348292,0,75,175,350,1307.54826628785
"2020-09-25",316.394395299283,0,75,175,350,1307.54826628785
"2020-09-26",329.308452250274,0,75,175,350,1307.54826628785
"2020-09-27",303.480338348292,0,75,175,350,1307.54826628785
"2020-09-28",297.023309872797,0,75,175,350,1307.54826628785
"2020-09-29",232.453025117841,0,75,175,350,1307.54826628785
"2020-09-30",209.853425453606,0,75,175,350,1307.54826628785
"2020-10-01",193.710854264867,0,75,175,350,1307.54826628785
"2020-10-02",196.939368502615,0,75,175,350,1307.54826628785
"2020-10-03",222.767482404597,0,75,175,350,1307.54826628785
"2020-10-04",232.453025117841,0,75,175,350,1307.54826628785
"2020-10-05",232.453025117841,0,75,175,350,1307.54826628785
